,Q1,Q2,Q3,Q4
0,7.6246189861593985,0.0,0.0,0.0
15그래머,0.0,0.0,0.0,9.704060527839234
15그램,0.0,0.0,0.0,9.704060527839234
15그램뷰티,0.0,0.0,0.0,7.6246189861593985
35mm,0.0,0.0,7.6246189861593985,0.0
5살,0.0,17.328679513998633,0.0,0.0
99,0.0,8.317766166719343,0.0,0.0
Clarins,0.0,9.704060527839234,0.0,0.0
JMT,0.0,0.0,22.18070977791825,0.0
adorable,0.0,15.249237972318797,0.0,0.0
adventure,9.010913347279288,0.0,0.0,0.0
art,7.479733883746302,0.0,6.0413235214873975,0.0
artwork,40.20253647247683,0.0,0.0,0.0
asian,11.090354888959125,0.0,0.0,0.0
baby,0.0,0.0,4.315231086776713,15.822513984847946
bakery,0.0,0.0,0.0,10.39720770839918
baking,20.79441541679836,0.0,0.0,0.0
bali,0.0,13.16979643063896,0.0,0.0
baliindonesia,0.0,7.6246189861593985,0.0,0.0
beautifully,0.0,20.79441541679836,0.0,0.0
belle,0.0,0.0,8.317766166719343,0.0
bestmeow,0.0,0.0,17.328679513998633,0.0
bias,0.0,0.0,0.0,17.328679513998633
bichon,0.0,14.556090791758852,0.0,0.0
bichonfrise,0.0,6.329005593939178,0.0,4.6029131592284935
black,0.0,0.0,0.0,7.6246189861593985
bogorkuliner,0.0,0.0,9.704060527839234,0.0
bread,0.0,0.0,0.0,13.16979643063896
brideideas,0.0,7.6246189861593985,0.0,0.0
britishshorthair,14.556090791758852,0.0,0.0,0.0
busan,0.0,0.0,7.6246189861593985,0.0
cafe,-6.917450090740501,-4.2397274749699845,-10.710890463082066,-4.2397274749699845
cafestagram,0.0,15.942385152878742,0.0,0.0
cafetour,5.753641449035617,5.753641449035617,0.0,0.0
canon800d,0.0,0.0,22.18070977791825,0.0
cat,13.5210574052337,0.0,26.466750665563836,0.0
catdrawing,18.021826694558577,0.0,0.0,0.0
catlife,10.39720770839918,0.0,0.0,0.0
catlover,18.021826694558577,0.0,0.0,0.0
catloversclub,0.0,0.0,18.021826694558577,0.0
catofteday,0.0,0.0,17.328679513998633,0.0
catoftheday,10.39720770839918,0.0,0.0,0.0
catsnet,0.0,0.0,18.021826694558577,0.0
catsofinstagram,3.739866941873151,0.0,18.987016781817537,0.0
catsofworld,0.0,0.0,18.021826694558577,0.0
catstagram,10.35655460826411,0.0,11.507282898071233,0.0
catstargram,0.0,0.0,18.021826694558577,0.0
chat,5.465959376583836,0.0,11.507282898071233,0.0
chaton,0.0,0.0,27.725887222397812,0.0
clarins,0.0,16.635532333438686,0.0,0.0
clubofcats,0.0,0.0,18.021826694558577,0.0
coffee,-7.81002429599734,-5.801732334169452,-2.6777226157705165,-7.140593642054711
coffeelover,0.0,7.6246189861593985,0.0,0.0
coffeeshop,0.0,13.16979643063896,0.0,0.0
coffeetime,0.0,15.942385152878742,0.0,0.0
color,15.249237972318797,0.0,0.0,0.0
colorful,15.249237972318797,0.0,0.0,0.0
coloring,17.328679513998633,0.0,0.0,0.0
cookingathome,0.0,13.16979643063896,0.0,0.0
cookingvideo,0.0,13.16979643063896,0.0,0.0
cool,15.249237972318797,0.0,0.0,0.0
cucimukabogor,0.0,0.0,7.6246189861593985,0.0
cute,6.0413235214873975,0.0,0.0,10.931918753167672
cutecat,9.010913347279288,0.0,0.0,0.0
cutedog,0.0,0.0,0.0,26.33959286127792
daegu,0.0,0.0,11.090354888959125,0.0
daily,-30.34752297873252,-12.719182424909953,-33.917819799759876,-35.256681107645136
dailyfood,0.0,0.0,27.725887222397812,0.0
dailygram,0.0,0.0,0.0,14.556090791758852
dailylook,-11.157177565710485,-20.082919618278872,-18.297771207765194,-5.355445231541033
daliy,0.0,10.39720770839918,0.0,0.0
dancingsnail,17.328679513998633,0.0,0.0,0.0
deepmine,9.010913347279288,0.0,0.0,0.0
dessert,8.055098028649864,4.315231086776713,0.0,0.0
diet,0.0,0.0,12.476649250079015,0.0
dinnerideas,0.0,0.0,10.39720770839918,0.0
dm,0.0,7.6246189861593985,0.0,0.0
dog,0.0,0.0,0.0,36.7368005696771
dogstagram,0.0,0.0,0.0,41.58883083359672
doodle,17.328679513998633,0.0,0.0,0.0
draw,9.704060527839234,0.0,0.0,0.0
drawing,15.249237972318797,0.0,0.0,0.0
drink,19.408121055678468,0.0,0.0,0.0
dthrone,0.0,0.0,22.873856958478193,0.0
e,0.0,4.6029131592284935,0.0,6.0413235214873975
earthhour,7.6246189861593985,0.0,0.0,0.0
eider,0.0,12.476649250079015,0.0,0.0
eiderkids,0.0,13.862943611198906,0.0,0.0
eosr6,0.0,0.0,9.704060527839234,0.0
europe,19.408121055678468,0.0,0.0,0.0
f,0.0,4.315231086776713,0.0,4.027549014324932
f4f,-6.694306539426291,-5.801732334169452,-15.62004859199468,-20.752350272221502
f4follow,0.0,0.0,13.16979643063896,0.0
f4l,0.0,0.0,0.0,16.635532333438686
f52grams,0.0,0.0,10.39720770839918,0.0
facialterbaikbogor,0.0,0.0,7.6246189861593985,0.0
fashion,0.0,0.0,0.0,0.0
fashionstyle,0.0,8.317766166719343,0.0,0.0
