,Q1,Q2,Q3,Q4
0,15.249237972318797,0.0,0.0,0.0
15그래머,0.0,0.0,0.0,19.408121055678468
15그램,0.0,0.0,0.0,19.408121055678468
15그램뷰티,0.0,0.0,0.0,15.249237972318797
35mm,0.0,0.0,15.249237972318797,0.0
5살,0.0,34.657359027997266,0.0,0.0
99,0.0,16.635532333438686,0.0,0.0
Clarins,0.0,19.408121055678468,0.0,0.0
JMT,0.0,0.0,44.3614195558365,0.0
adorable,0.0,30.498475944637594,0.0,0.0
adventure,18.021826694558577,0.0,0.0,0.0
art,18.021826694558577,0.0,14.556090791758852,0.0
artwork,80.40507294495366,0.0,0.0,0.0
asian,22.18070977791825,0.0,0.0,0.0
baby,0.0,0.0,10.39720770839918,38.12309493079699
bakery,0.0,0.0,0.0,20.79441541679836
baking,41.58883083359672,0.0,0.0,0.0
bali,0.0,26.33959286127792,0.0,0.0
baliindonesia,0.0,15.249237972318797,0.0,0.0
beautifully,0.0,41.58883083359672,0.0,0.0
belle,0.0,0.0,16.635532333438686,0.0
bestmeow,0.0,0.0,34.657359027997266,0.0
bias,0.0,0.0,0.0,34.657359027997266
bichon,0.0,29.112181583517703,0.0,0.0
bichonfrise,0.0,15.249237972318797,0.0,11.090354888959125
black,0.0,0.0,0.0,15.249237972318797
bogorkuliner,0.0,0.0,19.408121055678468,0.0
bread,0.0,0.0,0.0,26.33959286127792
brideideas,0.0,15.249237972318797,0.0,0.0
britishshorthair,29.112181583517703,0.0,0.0,0.0
busan,0.0,0.0,15.249237972318797,0.0
cafe,0.0,0.0,0.0,0.0
cafestagram,0.0,31.884770305757485,0.0,0.0
cafetour,13.862943611198906,13.862943611198906,0.0,0.0
canon800d,0.0,0.0,44.3614195558365,0.0
cat,32.57791748631743,0.0,63.76954061151497,0.0
catdrawing,36.04365338911715,0.0,0.0,0.0
catlife,20.79441541679836,0.0,0.0,0.0
catlover,36.04365338911715,0.0,0.0,0.0
catloversclub,0.0,0.0,36.04365338911715,0.0
catofteday,0.0,0.0,34.657359027997266,0.0
catoftheday,20.79441541679836,0.0,0.0,0.0
catsnet,0.0,0.0,36.04365338911715,0.0
catsofinstagram,9.010913347279288,0.0,45.747713916956386,0.0
catsofworld,0.0,0.0,36.04365338911715,0.0
catstagram,24.95329850015803,0.0,27.725887222397812,0.0
catstargram,0.0,0.0,36.04365338911715,0.0
chat,13.16979643063896,0.0,27.725887222397812,0.0
chaton,0.0,0.0,55.451774444795625,0.0
clarins,0.0,33.27106466687737,0.0,0.0
clubofcats,0.0,0.0,36.04365338911715,0.0
coffee,0.0,0.0,0.0,0.0
coffeelover,0.0,15.249237972318797,0.0,0.0
coffeeshop,0.0,26.33959286127792,0.0,0.0
coffeetime,0.0,31.884770305757485,0.0,0.0
color,30.498475944637594,0.0,0.0,0.0
colorful,30.498475944637594,0.0,0.0,0.0
coloring,34.657359027997266,0.0,0.0,0.0
cookingathome,0.0,26.33959286127792,0.0,0.0
cookingvideo,0.0,26.33959286127792,0.0,0.0
cool,30.498475944637594,0.0,0.0,0.0
cucimukabogor,0.0,0.0,15.249237972318797,0.0
cute,14.556090791758852,0.0,0.0,26.33959286127792
cutecat,18.021826694558577,0.0,0.0,0.0
cutedog,0.0,0.0,0.0,52.67918572255584
daegu,0.0,0.0,22.18070977791825,0.0
daily,0.0,0.0,0.0,0.0
dailyfood,0.0,0.0,55.451774444795625,0.0
dailygram,0.0,0.0,0.0,29.112181583517703
dailylook,0.0,0.0,0.0,0.0
daliy,0.0,20.79441541679836,0.0,0.0
dancingsnail,34.657359027997266,0.0,0.0,0.0
deepmine,18.021826694558577,0.0,0.0,0.0
dessert,19.408121055678468,10.39720770839918,0.0,0.0
diet,0.0,0.0,24.95329850015803,0.0
dinnerideas,0.0,0.0,20.79441541679836,0.0
dm,0.0,15.249237972318797,0.0,0.0
dog,0.0,0.0,0.0,73.4736011393542
dogstagram,0.0,0.0,0.0,83.17766166719343
doodle,34.657359027997266,0.0,0.0,0.0
draw,19.408121055678468,0.0,0.0,0.0
drawing,30.498475944637594,0.0,0.0,0.0
drink,38.816242111356935,0.0,0.0,0.0
dthrone,0.0,0.0,45.747713916956386,0.0
e,0.0,11.090354888959125,0.0,14.556090791758852
earthhour,15.249237972318797,0.0,0.0,0.0
eider,0.0,24.95329850015803,0.0,0.0
eiderkids,0.0,27.725887222397812,0.0,0.0
eosr6,0.0,0.0,19.408121055678468,0.0
europe,38.816242111356935,0.0,0.0,0.0
f,0.0,10.39720770839918,0.0,9.704060527839234
f4f,0.0,0.0,0.0,0.0
f4follow,0.0,0.0,26.33959286127792,0.0
f4l,0.0,0.0,0.0,33.27106466687737
f52grams,0.0,0.0,20.79441541679836,0.0
facialterbaikbogor,0.0,0.0,15.249237972318797,0.0
fashion,6.616687666390959,10.931918753167672,3.4521848694213704,0.0
fashionstyle,0.0,16.635532333438686,0.0,0.0
feedfeed,0.0,0.0,38.816242111356935,0.0
ff,0.0,0.0,42.97512519471661,0.0
fff,0.0,0.0,0.0,0.0
ffff,0.0,0.0,30.498475944637594,0.0
filmcamera,0.0,0.0,26.33959286127792,0.0
filmphotography,0.0,0.0,49.90659700031606,0.0
fitgirl,18.021826694558577,0.0,0.0,0.0
fitness,14.556090791758852,7.6246189861593985,0.0,0.0
