,id,post_num,follower_num,category,audi_stat,follower_reach,reach,reach%,ER,posting_term,,,,,,,,,,,,
1,_yuun.dd,40,"3,211",기타,"30대, 여성(59%)","1,084 (73%)","1,485",46.25%,5.90%,0.9,,,,,,,,,,,,
2,moondam__,40,"4,983","일상 ,패션","20대, 여성(82%)","2,670 (66%)","4,038",81.04%,41.00%,0.3,,,,,,,,,,,,
3,_rudgus_,46,"4,988",일상,"30대, 여성(84%)","1,641 (50%)","3,303",66.22%,2.03%,1.1,,,,,,,,,,,,
4,3.3x_km,46,"4,676","일상 ,패션","20대, 여성(70%)","2,881 (34%)","8,435",180.39%,7.40%,0.8,,,,,,,,,,,,
5,prince_merry_,48,"3,034","키즈 ,일상","10대, 여성(75%)","1,099 (83%)","1,318",43.44%,5.65%,0.6,,,,,,,,,,,,
6,yhtmtg,48,"5,482","예술 ,여행","30대, 여성(74%)","2,460 (83%)","2,952",53.85%,24.47%,0.2,,,,,,,,,,,,
7,hyochi___,50,"4,936","일상 ,패션, 뷰티","30대, 남성(66%)","1,839 (80%)","2,309",46.78%,5.78%,0.8,,,,,,,,,,,,
8,e_heeeeee,51,"8,227","일상 ,홈리빙","30대, 여성(69%)","1,820 (42%)","4,304",52.32%,1.74%,0.9,,,,,,,,,,,,
9,lo.vyd_,51,"7,082","뷰티 ,일상, 패션","20대, 여성(66%)",904 (15%),"5,971",84.31%,1.01%,4.3,,,,,,,,,,,,
10,suyun._.oo,52,"6,818","푸드 ,일상","30대, 여성(61%)","2,714 (83%)","3,257",47.77%,19.50%,0.5,,,,,,,,,,,,
11,2chung_96,54,"4,123","일상 ,동물,","30대, 여성(77%)","1,678 (60%)","2,796",67.81%,4.71%,0.4,,,,,,,,,,,,
12,hj__ooo,54,"4,265","뷰티 ,여행","20대, 여성(68%)","1,180 (18%)","6,623",155.29%,2.39%,1.9,,,,,,,,,,,,
13,k_th97,55,"4,132",,"30대, 여성(59%)","1,677 (64%)","2,631",63.67%,8.44%,0.8,,,,,,,,,,,,
14,yy___vely,56,"3,984","일상 ,패션, 여행","30대, 여성(65%)",699 (9%),"7,396",185.64%,1.67%,1.6,,,,,,,,,,,,
15,ybsr_yelim,56,"4,507",,"30대, 여성(67%)",30 (83%),36,0.80%,13.41%,0.7,,,,,,,,,,,,
16,dubuchuu,57,"3,537","일상 ,패션, 뷰티","30대, 여성(54%)","2,917 (5%)","60,571",1712.50%,9.82%,0.1,,,,,,,,,,,,
17,179.6_,58,"2,963","일상 ,여행, 푸드","30대, 여성(81%)","1,032 (98%)","1,053",35.54%,3.40%,0.5,,,,,,,,,,,,
18,_angyj,58,"6,294","엔터테인먼트 ,일상, 패션","20대, 여성(67%)","1,707 (10%)","17,071",271.23%,2.35%,2.6,,,,,,,,,,,,
19,aurumi4529,61,"4,677","동물 ,일상, 푸드","30대, 여성(73%)","1,346 (83%)","1,615",34.53%,8.05%,0.4,,,,,,,,,,,,
20,kiyoungeee,61,"4,412",일상 패션,"30대, 여성(75%)","1,428 (83%)","1,713",38.83%,5.80%,0.4,,,,,,,,,,,,
21,2.silver.jun,62,"3,851",,"20대, 여성(80%)","2,505 (43%)","5,834",151.49%,2.84%,1.8,,,,,,,,,,,,
22,2ooo122o,63,"4,364",,"30대, 여성(58%)","1,343 (83%)","1,611",36.92%,8.55%,0.5,,,,,,,,,,,,
23,g___h9.4,63,"8,506",일상,"30대, 여성(56%)","2,403 (68%)","3,512",41.29%,2.77%,1.6,,,,,,,,,,,,
24,cocovely_wq,65,"7,220","일상 ,패션, 뷰티","30대, 여성(54%)","2,046 (46%)","4,472",61.94%,1.68%,1.2,,,,,,,,,,,,
25,coordius,68,"3,433","일상 ,패션, 기타","30대, 여성(82%)","1,961 (83%)","2,353",68.54%,16.68%,0.6,,,,,,,,,,,,
26,ssefproject,69,"3,102","뷰티 ,예술, 푸드","20대, 여성(79%)","2,605 (10%)","26,320",848.48%,6.22%,0.5,,,,,,,,,,,,
27,ckdghks810,70,"4,422",,"30대, 여성(78%)","2,294 (44%)","5,181",117.16%,10.30%,0.4,,,,,,,,,,,,
28,jeon_eun_chul,71,"3,831","일상 ,패션, 뷰티","30대, 여성(74%)","1,281 (83%)","1,537",40.12%,2.82%,0.3,,,,,,,,,,,,
29,kys_1016,73,"3,215",일상,"20대, 여성(82%)","1,635 (50%)","3,284",102.15%,13.80%,0.2,,,,,,,,,,,,
30,___euniya,73,"8,292","패션 ,뷰티, 여행","30대, 남성(59%)","2,064 (35%)","5,961",71.89%,1.44%,1,,,,,,,,,,,,
31,yoone2e,75,"4,260","일상 ,뷰티,","20대, 여성(62%)","2,104 (27%)","7,895",185.33%,5.71%,0.7,,,,,,,,,,,,
32,0o_____zo0,75,"5,808","패션 ,뷰티, 일상","20대, 여성(70%)","1,681 (1%)","123,470",2125.86%,6.03%,2.3,,,,,,,,,,,,
33,jeon_eun_chul,78,"4,189","일상 ,패션, 뷰티","30대, 여성(74%)","1,281 (83%)","1,537",36.69%,2.82%,0.3,,,,,,,,,,,,
34,dvoidoffunk,78,"7,610",,"30대, 여성(80%)","5,469 (95%)","5,782",75.98%,7.88%,0.9,,,,,,,,,,,,
35,muk9_muk9,78,"5,657",푸드,"30대, 여성(67%)","2,282 (83%)","2,739",48.42%,3.79%,0.8,,,,,,,,,,,,
36,eo_nomine,82,"6,738","일상 ,여행,","20대, 여성(85%)","3,301 (83%)","3,961",58.79%,4.39%,0.6,,,,,,,,,,,,
37,xxxxxskyxxxxx,83,"4,184","일상 ,패션, 푸드","30대, 여성(67%)","1,158 (30%)","3,808",91.01%,2.34%,0.7,,,,,,,,,,,,
38,_comely__j,83,"6,668","뷰티 ,일상","30대, 여성(63%)","1,802 (19%)","9,730",145.92%,2.13%,3.1,,,,,,,,,,,,
39,peerchord,87,"4,471","일상 ,패션","30대, 여성(75%)",8 (1%),739,16.53%,6.56%,0.5,,,,,,,,,,,,
40,camper_hb93,88,"4,362",,"40대, 여성(54%)","2,296 (30%)","7,594",174.09%,10.98%,1.2,,,,,,,,,,,,
41,fourbbi,90,"5,011","일상 ,여행, 패션","30대, 여성(83%)","2,139 (83%)","2,567",51.23%,5.62%,1,,,,,,,,,,,,
42,choi__ssa,90,"5,745",일상,"30대, 여성(81%)","4,825 (41%)","11,695",203.57%,13.12%,0.5,,,,,,,,,,,,
43,gamin_papa,91,"2,731","키즈 ,일상","10대, 여성(73%)",930 (83%),"1,116",40.86%,5.50%,0.4,,,,,,,,,,,,
44,insta._s2,92,"3,010","뷰티 ,일상, 패션","30대, 여성(60%)","1,774 (37%)","4,828",160.40%,26.86%,0.5,,,,,,,,,,,,
45,thankstamp,93,"4,532",,"30대, 여성(85%)","2,701 (83%)","3,241",71.51%,3.20%,1.1,,,,,,,,,,,,
46,food__master_,94,"3,379","푸드 ,일상,","20대, 여성(72%)","1,375 (83%)","1,650",48.83%,4.55%,0.3,,,,,,,,,,,,
47,lo.oo_y,94,"3,931","뷰티 ,패션, 여행","30대, 남성(58%)","1,956 (38%)","5,216",132.69%,15.13%,1.6,,,,,,,,,,,,
48,a_38317,94,"7,046","일상 ,여행, 푸드","30대, 여성(59%)","4,738 (83%)","5,685",80.68%,9.87%,0.9,,,,,,,,,,,,
49,wonwoo995,95,"8,435",일상,"30대, 여성(92%)","2,068 (83%)","2,481",29.41%,11.36%,0.9,,,,,,,,,,,,
50,___jaeu,99,"4,220","일상 ,뷰티","30대, 여성(59%)",949 (28%),"3,433",81.35%,3.76%,0.5,,,,,,,,,,,,
51,gagamel_k,100,"4,874","일상 ,키즈","30대, 여성(64%)","1,688 (83%)","2,025",41.55%,2.96%,0.5,,,,,,,,,,,,
52,yuxxin_00,101,"3,901",기타,"30대, 여성(59%)","1,066 (8%)","13,410",343.76%,4.68%,0.5,,,,,,,,,,,,
